Order,ShortID,StimulusID,Order1,Order2,Naming1,Naming2,Intensity,Familiarity,Pleasantness,Edibility,Medicinal,Frequency,CorrectNaming1,CorrectNaming2,Consistency
1,P02,babune,1,13,babune,babune,6,7,5,2,7,7,1,1,1
2,P02,zardchube,2,14,zardchube,zardchube,5,7,4,7,1,7,1,1,1
3,P02,na'na,3,9,nana,nana,6,7,7,7,5,7,1,1,1
4,P02,limu amani,4,15,N/A,garde limu,1,6,4,7,2,7,999,1,N/A
5,P02,bahare naranj,5,10,bahar,bahar,6,7,7,7,7,7,1,1,1
6,P02,zire,6,11,zire,zire,7,7,6,7,5,6,1,1,1
7,P02,behlimu,7,16,N/A,N/A,7,7,7,7,1,6,999,999,N/A
8,P02,raziyune,8,8,raziune,raziune,3,7,7,1,7,5,1,1,1
9,P02,za'ferun,9,7,N/A,N/A,7,7,6,7,6,7,999,999,N/A
10,P02,rozmari,10,3,sedr,sedr,1,7,4,1,7,5,0,0,1
11,P02,darchin,11,12,N/A,darchin,6,7,4,7,3,6,999,1,N/A
12,P02,ostokhoddus,12,2,N/A,N/A,1,6,6,7,5,4,999,999,N/A
13,P02,rishmak/shirin bayan,13,1,N/A,shirin bayan,7,7,6,5,7,3,999,1,N/A
14,P02,avishan,14,5,avishan,avishan,6,5,2,7,6,4,1,1,1
15,P02,mikhak,15,4,mikhak,mikhak,7,7,7,7,6,4,1,1,1
16,P02,okaliptus,16,6,N/A,N/A,7,7,4,7,6,4,999,999,N/A
17,P03,babune,1,13,N/A,babune,6,6,6,1,7,5,999,1,N/A
18,P03,zardchube,2,14,zardchube,zardchube,5,7,3,7,3,7,1,1,1
19,P03,na'na,3,9,pune,nana,7,7,6,7,2,7,1,1,1
20,P03,limu amani,4,15,gard limu,garde limu,4,7,5,7,2,2,1,1,1
21,P03,bahare naranj,5,10,bahar,bahar,7,7,7,7,7,7,1,1,1
22,P03,zire,6,11,N/A,zire,4,2,3,7,7,7,999,1,N/A
23,P03,behlimu,7,16,behlimu,behlimu,7,7,6,1,7,5,1,1,1
24,P03,raziyune,8,8,raziune,raziune,7,7,6,7,7,7,1,1,1
25,P03,za'ferun,9,7,zaferun,zafarun,7,7,7,7,2,7,1,1,1
26,P03,rozmari,10,3,N/A,avishan,7,7,7,7,7,7,999,0,N/A
27,P03,darchin,11,12,darchin,darchin,7,7,7,7,5,7,1,1,1
28,P03,ostokhoddus,12,2,N/A,ostokhoddus,7,7,6,7,7,7,999,1,N/A
29,P03,rishmak/shirin bayan,13,1,rishmak,rishmak,7,7,4,1,7,4,1,1,1
30,P03,avishan,14,5,avishan,avishan,7,7,7,7,7,7,1,1,1
31,P03,mikhak,15,4,mikhak,mikhak,7,6,6,7,7,7,1,1,1
32,P03,okaliptus,16,6,N/A,N/A,7,7,3,1,7,2,999,999,N/A
33,P04,babune,1,13,dermane,babune,1,7,7,7,7,7,0,1,0
34,P04,zardchube,2,14,zardchube,zardchube,5,7,6,7,5,7,1,1,1
35,P04,na'na,3,9,nana,nana,7,7,7,7,7,7,1,1,1
