ShortID,OA1,OA2,OA3,OA4,OA5,OA6,OA7,OA8,OA9,OA10
P02,2,4,3,4,5,5,5,5,4,5
P03,5,5,5,5,5,5,5,5,5,5
P04,2,4,5,3,5,4,1,1,2,3
P05,1,5,4,3,3,3,5,5,3,4
P07,5,5,4,5,4,1,4,1,5,2
P08,1,4,4,4,5,4,4,4,4,5
P09,5,5,4,5,5,5,4,5,5,3
P10,5,5,5,5,5,5,5,5,2,2
P12,5,5,5,5,3,5,5,5,3,5
P13,5,5,3,5,5,5,5,5,4,5
P14,1,5,4,5,5,4,5,5,5,2
P18,1,5,4,2,5,1,5,5,4,4
P19,3,5,5,5,5,3,4,4,5,4
P20,1,5,4,3,4,3,4,4,1,3
P23,4,5,4,2,5,1,1,1,1,3
P27,1,4,4,3,4,2,5,4,5,4
P30,5,5,5,4,4,5,5,5,3,4
P34,1,5,5,5,4,2,1,5,5,3
P35,1,5,5,3,5,5,1,5,4,4
P37,1,5,5,3,5,3,5,4,5,5
P40,1,5,5,5,5,5,5,5,5,4
P42,3,5,5,3,5,3,4,5,5,4
P26,1,5,5,1,2,1,1,5,5,3
P29,5,5,5,4,5,4,4,4,5,2
P31,3,5,4,4,5,3,2,3,3,4
P32,1,5,5,2,4,5,2,2,1,3
P33,1,5,4,3,4,4,3,1,3,4
P36,1,5,3,5,3,5,1,1,1,4
P43,1,4,5,5,5,5,5,5,2,4
P44,5,5,5,5,5,4,1,4,1,4
P46,1,3,5,2,4,5,1,5,5,3
P48,1,5,5,5,5,3,4,4,2,5
P15,4,5,4,5,4,4,3,3,3,4
P16,2,2,5,5,4,2,3,4,1,3
P41,2,4,5,5,5,5,4,2,2,4
P45,5,5,5,5,5,4,5,5,5,4
P47,3,5,4,3,2,4,5,4,1,4
P17,5,5,4,4,5,2,2,4,2,4
P21,4,4,5,4,5,4,5,4,5,4
P22,2,4,4,4,2,1,4,5,4,2
P24,1,5,4,5,4,5,1,4,1,3
P25,1,5,5,1,2,3,3,5,2,5
P28,5,5,5,5,5,2,5,5,1,5
P38,1,5,5,3,5,1,5,5,2,5
P39,1,5,5,5,3,1,1,1,1,2
