ShortID,Group ,Age,Gender,TestDate
P02,Expert,54,Male,19-Dec-15
P03,Expert,33,Male,19-Dec-15
P04,Expert,32,Male,19-Dec-15
P05,Expert,53,Female,19-Dec-15
P07,Expert,32,Male,20-Dec-15
P08,Expert,25,Male,22-Dec-15
P09,Expert,33,Male,22-Dec-15
P10,Expert,34,Male,24-Dec-15
P12,Expert,27,Male,24-Dec-15
P13,Expert,36,Male,24-Dec-15
P14,Expert,34,Male,27-Dec-15
P18,Cook,54,Female,2-Jan-16
P19,Cook,63,Female,3-Jan-16
P20,Cook,58,Female,3-Jan-16
P23,Cook,19,Female,4-Jan-16
P27,Cook,76,Female,5-Jan-16
P30,Cook,34,Female,11-Jan-16
P34,Cook,58,Female,11-Jan-16
P35,Cook,34,Female,12-Jan-16
P37,Cook,60,Female,13-Jan-16
P40,Cook,54,Female,16-Jan-16
P42,Cook,46,Female,25-Jan-16
P26,Control,29,Female,4-Jan-16
P29,Control,23,Female,10-Jan-16
P31,Control,26,Female,11-Jan-16
P32,Control,24,Female,11-Jan-16
P33,Control,26,Female,11-Jan-16
P36,Control,18,Female,13-Jan-16
P43,Control,24,Female,28-Jan-16
P44,Control,28,Female,31-Jan-16
P46,Control,32,Female,2-Feb-16
P48,Control,31,Female,7-Feb-16
P15,Control,29,Male,31-Dec-15
P16,Control,27,Male,2-Jan-16
P41,Control,28,Male,18-Jan-16
P45,Control,32,Male,1-Feb-16
P47,Control,58,Male,4-Feb-16
P17,Control,26,Male,2-Jan-16
P21,Control,58,Male,3-Jan-16
P22,Control,38,Male,4-Jan-16
P24,Control,32,Male,4-Jan-16
P25,Control,31,Male,4-Jan-16
P28,Control,53,Male,6-Jan-16
P38,Control,35,Male,13-Jan-16
P39,Control,65,Male,13-Jan-16
